,Sentence,Subject,Relation,Object
22,"Let me see my father! Where are you, please?! Shireen said to Selyse.",Shireen,said to,Selyse
23,"Mother, don’t do this please! Please help! Don’t do this! Please, father! Mother, help! Shireen said to Melisandre.",Shireen,said to,Melisandre
24,My father would have liked you. Tyrion Lannister said to Announcer.,Tyrion Lannister,said to,Announcer
25,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",They,burned,my village
26,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",father,through,head right
27,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",They,put arrow through,my father 's head right
28,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",They,put,arrow
29,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",They,put arrow in front of,me
30,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",my,mother,everyone
31,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",They,butchered,my mother
32,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",They,butchered,everyone
33,"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew. Olly said to Jon.",Olly,said to,Jon
34,I knew him and his father before him. The Starks are gone now. Man said to Brienne.,I,knew,him
35,I knew him and his father before him. The Starks are gone now. Man said to Brienne.,Starks,are,gone
36,I knew him and his father before him. The Starks are gone now. Man said to Brienne.,Starks,are,gone now
37,I knew him and his father before him. The Starks are gone now. Man said to Brienne.,Man,said to,Brienne
38,My father's not the most literate man. They say the Citadel has the largest library in the world. Sam said to Gilly.,largest library,is in,world
39,My father's not the most literate man. They say the Citadel has the largest library in the world. Sam said to Gilly.,Sam,said to,Gilly
40,"Your father is Randyll Tarly. He defeated my brother at the Battle of Ashford. Only battle Robert ever lost. I told him he shouldn't go so far west so soon, but he never listened. Fine soldier, your father. You don't look like a soldier. But I'm told you killed a white walker. Stannis said to Sam.",Your father,is,Randyll Tarly
41,"Your father is Randyll Tarly. He defeated my brother at the Battle of Ashford. Only battle Robert ever lost. I told him he shouldn't go so far west so soon, but he never listened. Fine soldier, your father. You don't look like a soldier. But I'm told you killed a white walker. Stannis said to Sam.",He,defeated,my brother
42,"Your father is Randyll Tarly. He defeated my brother at the Battle of Ashford. Only battle Robert ever lost. I told him he shouldn't go so far west so soon, but he never listened. Fine soldier, your father. You don't look like a soldier. But I'm told you killed a white walker. Stannis said to Sam.",I,'m,told
43,"Your father is Randyll Tarly. He defeated my brother at the Battle of Ashford. Only battle Robert ever lost. I told him he shouldn't go so far west so soon, but he never listened. Fine soldier, your father. You don't look like a soldier. But I'm told you killed a white walker. Stannis said to Sam.",Stannis,said to,Sam
44,( On horseback ). Do you think Father will let me go down into the crypt? Shireen said to Davos.,Shireen,said to,Davos
45,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",Your father,was Warden of,North
46,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",Ramsay,needs,you
47,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",Your father,was,Warden
48,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",he,make,his heir
49,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",two,boy,he
50,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",He,incredible plans for,parts
51,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",He,'s got,plans for parts
52,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",He,'s got,incredible plans
53,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",He,'s got,incredible plans for parts
54,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",He,'s got,plans
55,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",He,plans for,parts
56,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",we,Shall wait,him come
57,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",we,Shall wait,him come back
58,"Die? ( lowers the bow ) Who said anything about dying? You can’t die yet. Your father was Warden of the North, and Ramsay needs you. Though I suppose he doesn’t need all of you. Just the parts he’ll use to make his heir. Until you’ve given him a boy or two and he’s finished using them. ( raises bow ) He’s got incredible plans for those parts. So. Shall we wait for him to come back, or shall we begin now? Myranda said to Sansa Stark.",Myranda,said to,Sansa Stark
59,I know. About you and mother. I think a part of me always knew. And I’m glad. I’m glad that you’re my father. Myrcella Baratheon said to Myrcella Baratheon.,I,'m,glad
60,I know. About you and mother. I think a part of me always knew. And I’m glad. I’m glad that you’re my father. Myrcella Baratheon said to Myrcella Baratheon.,you,'re,my father
61,I know. About you and mother. I think a part of me always knew. And I’m glad. I’m glad that you’re my father. Myrcella Baratheon said to Myrcella Baratheon.,I,'m,glad
62,I know. About you and mother. I think a part of me always knew. And I’m glad. I’m glad that you’re my father. Myrcella Baratheon said to Myrcella Baratheon.,Myrcella Baratheon,said to,Myrcella Baratheon
63,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always generous with me
64,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always so generous with me kind
65,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how generous with me kind
66,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always so generous so kind
67,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how generous kind
68,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,so generous so kind
69,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how generous with me so kind
70,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,always been generous so kind with,me
71,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,always been generous kind with,me
72,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,so generous
73,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always generous
74,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,always been generous with,me
75,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,always so generous so kind
76,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been generous with,me
77,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always so generous with me so kind
78,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,always generous kind
79,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always generous with me kind
80,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,always so generous
81,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,generous so kind
82,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how so generous with me
83,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how generous with me
84,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always so generous
85,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been generous so kind with,me
86,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always generous with me so kind
87,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always generous kind
88,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always so generous kind
89,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,always generous
90,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been so generous with,me
91,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been so generous kind with,me
92,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,always been so generous kind with,me
93,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how so generous
94,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,so generous kind
95,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always generous so kind
96,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,always generous so kind
97,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how generous so kind
98,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,generous
99,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,always been so generous with,me
100,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how so generous with me so kind
101,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how always so generous with me
102,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how so generous with me kind
103,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,always so generous kind
104,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,generous kind
105,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been so generous so kind with,me
106,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how so generous so kind
107,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been generous kind with,me
108,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how generous
109,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,been,how so generous kind
110,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,always been so generous so kind with,me
111,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,'s had,injure
112,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",she,has,had
113,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",Sits,comb,her hair
114,"I adore how she has always been so generous with me, so kind. And the horror she's had to injure. ( Sits down and begins to comb her hair ). Losing her husband, her eldest child and her father. It's no wonder she's so protective of you. She'll never let you out of her sight. Margaery said to Tommen.",Margaery,said to,Tommen
115,"On our way down to King's Landing, with my father and Arya and… where are you taking me? Sansa Stark said to Baelish.",down King 's Landing,is with,my father
116,"On our way down to King's Landing, with my father and Arya and… where are you taking me? Sansa Stark said to Baelish.",you,are taking,me
117,"On our way down to King's Landing, with my father and Arya and… where are you taking me? Sansa Stark said to Baelish.",Sansa Stark,said to,Baelish
118,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",I,care for,you
119,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",you,know by,now
120,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",we,listen to,me
121,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",things,happened to,your family
122,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",Terrible things,happened to,your family
123,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",You,sit in,room
124,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",You,mourning,their fates
125,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",You,sit in,darkened room
126,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",You,sit alone in,darkened room
127,"( Grabbing her ). I won't force you to do anything. Don't you know by now how much I care for you? Say the word and we turn the horses round, but listen to me. Listen. ( Quietly ). You've been running all your life. Terrible things happened to your family and you weep. You sit alone in a darkened room, mourning their fates. You've been a bystander to tragedy from the day they executed your father. Stop being a bystander, do you hear me? Stop running. There's no justice in the world. Not unless we make it. You loved your family. Avenge them. Baelish said to Sansa Stark.",You,sit alone in,room
