,Sentence,Phrase,Episode,Target,Speaker,Vocative Relation,Other Relation,In-sentence Characters
37,JON: Castle Black could be next.,Phrase,s4ep4,None,None,None,None,None
38,"JAIME: They're not good at anything. I know the Ironborn. They're bitter, angry little people. All they know how to do is steal things they can't build or grow themselves.",Phrase,s7ep1,None,None,None,None,None
39,"SER DONTOS: I can't accept your apology. I may be a fool, but I'm a living fool, thanks to you.",Phrase,s4ep1,None,None,None,None,None
40,TOMMEN: It all happened so fast.,Phrase,s5ep3,None,None,None,None,None
41,"STANNIS: You admire him, don’t you?",Phrase,s5ep1,None,None,None,None,None
42,"TYRION: It’s not enough for Meereen to have peace. They need to know Daenerys is responsible for it. The Sons of the Harpy have a good story. Resist the foreign invaders. Our queen has an even better story. Mother of Dragons, Breaker of Chains and...all that.",Phrase,s6ep5,None,None,None,None,None
43,HEAD: Of course. Of course.,Phrase,s5ep9,None,None,None,None,None
44,"Tywin Lannister:When soldiers lack discipline, the fault lies with their commander.",Phrase,s1ep9,None,None,None,None,None
45,HODOR: Hodor. Hodor.,Phrase,s6ep5,None,None,None,None,None
46,LITTLEFINGER: Tell no one what?,Phrase,s2ep3,None,None,None,None,None
47,DAVOS: Help me get him inside.,Phrase,s6ep1,None,None,None,None,None
48,"BRONN: You don’t even have to do anything, do you?",Phrase,s6ep10,None,None,None,None,None
49,UNSULLIED #1: (shouts in Valyrian.),Phrase,s4ep4,None,None,None,None,None
